ID,Country,GeoID,City,State,Area Type,Minutes,Margin of Error
0100000US,United States,310M300US24640,Greenfield Town,MA,Micro,24.4,0.7
0100000US,United States,310M300US24660,Greensboro-High Point,NC,Metro,22.2,0.3
0100000US,United States,310M300US24700,Greensburg,IN,Micro,20.8,1.1
0100000US,United States,310M300US24740,Greenville,MS,Micro,16.6,0.8
0100000US,United States,310M300US24780,Greenville,NC,Metro,20.1,0.7
0100000US,United States,310M300US24820,Greenville,OH,Micro,22.6,0.8
0100000US,United States,310M300US24860,Greenville-Anderson-Mauldin,SC,Metro,22.7,0.2
0100000US,United States,310M300US24900,Greenwood,MS,Micro,19.7,1.4
0100000US,United States,310M300US24940,Greenwood,SC,Micro,22.8,0.8
0100000US,United States,310M300US24980,Grenada,MS,Micro,18.3,2
0100000US,United States,310M300US25060,Gulfport-Biloxi-Pascagoula,MS,Metro,23.6,0.4
0100000US,United States,310M300US25100,Guymon,OK,Micro,16.6,1.7
0100000US,United States,310M300US25180,Hagerstown-Martinsburg,MD,Metro,30,0.6
0100000US,United States,310M300US25200,Hailey,ID,Micro,20.4,1.1
0100000US,United States,310M300US25220,Hammond,LA,Metro,31,1.2
0100000US,United States,310M300US25260,Hanford-Corcoran,CA,Metro,21.4,0.7
0100000US,United States,310M300US25300,Hannibal,MO,Micro,18.9,1
0100000US,United States,310M300US25420,Harrisburg-Carlisle,PA,Metro,22.6,0.3
